"","ID","Edad","Pollos","A̱o","Juliano","Presas"
"1","ADEVESA 2019",21,"2","2019",204,6
"2","ADEVESA 2019",22,"2","2019",205,4
"3","ADEVESA 2019",23,"2","2019",206,4
"4","ADEVESA 2019",24,"2","2019",207,9
"5","ADEVESA 2019",25,"2","2019",208,4
"6","ADEVESA 2019",26,"2","2019",209,10
"7","ADEVESA 2019",27,"2","2019",210,7
"8","ADEVESA 2019",28,"2","2019",211,7
"9","ADEVESA 2019",29,"2","2019",212,10
"10","ADEVESA 2019",30,"2","2019",213,7
"11","ADEVESA 2019",31,"2","2019",214,9
"12","ADEVESA 2019",32,"2","2019",215,5
"13","ADEVESA 2019",33,"2","2019",216,5
"14","ADEVESA 2019",34,"2","2019",217,4
"15","ADEVESA 2021",33,"1","2021",201,2
"16","ADEVESA 2021",34,"1","2021",202,5
"17","ADEVESA 2021",35,"1","2021",203,6
"18","ADEVESA 2021",36,"1","2021",204,4
"19","ADEVESA 2021",37,"1","2021",205,8
"20","ADEVESA 2021",38,"1","2021",206,6
"21","ADEVESA 2021",39,"1","2021",207,1
"22","ADEVESA 2021",40,"1","2021",208,4
"23","AGRELA 2020",19,"2","2020",192,6
"24","AGRELA 2020",20,"2","2020",193,6
"25","AGRELA 2020",21,"2","2020",194,5
"26","AGRELA 2020",22,"2","2020",195,13
"27","AGRELA 2020",23,"2","2020",196,4
"28","AGRELA 2020",24,"2","2020",197,9
"29","AGRELA 2020",25,"2","2020",198,8
"30","AGRELA 2020",26,"2","2020",199,8
"31","AGRELA 2020",27,"2","2020",200,8
"32","AGRELA 2020",28,"2","2020",201,10
"33","AGRELA 2020",29,"2","2020",202,10
"34","AGRELA 2020",30,"2","2020",203,15
"35","AGRELA 2020",31,"2","2020",204,8
"36","AGRELA 2020",32,"2","2020",205,5
"37","AGRELA 2020",33,"2","2020",206,7
"38","AGRELA 2020",34,"2","2020",207,6
"39","AGRELA 2020",35,"2","2020",208,11
"40","AGRELA 2020",36,"2","2020",209,7
"41","AGRELA 2020",37,"2","2020",210,4
"42","AGRELA 2020",38,"2","2020",211,10
"43","AGRELA 2020",39,"2","2020",212,6
"44","AGRELA 2020",40,"2","2020",213,9
"45","AGRELA 2020",41,"2","2020",214,10
"46","CACHAL 2021",27,"2","2021",206,7
"47","CACHAL 2021",28,"2","2021",207,11
"48","CACHAL 2021",29,"2","2021",208,3
"49","CACHAL 2021",30,"2","2021",209,12
"50","CACHAL 2021",31,"2","2021",210,3
"51","CACHAL 2021",32,"2","2021",211,9
"52","CACHAL 2021",33,"2","2021",212,6
"53","CACHAL 2021",34,"2","2021",213,4
"54","CACHAL 2021",35,"2","2021",214,13
"55","CACHAL 2021",36,"2","2021",215,2
"56","CACHAL 2021",37,"2","2021",216,4
"57","CACHAL 2021",38,"2","2021",217,3
"58","CACHAL 2021",39,"2","2021",218,10
"59","CANTERA 2018",22,"2","2018",202,5
"60","CANTERA 2018",23,"2","2018",203,5
"61","CANTERA 2018",24,"2","2018",204,7
"62","CANTERA 2018",25,"2","2018",205,4
"63","CANTERA 2018",26,"2","2018",206,6
"64","CANTERA 2018",27,"2","2018",207,4
"65","CANTERA 2018",28,"2","2018",208,6
"66","CANTERA 2018",29,"2","2018",209,8
"67","CANTERA 2018",30,"2","2018",210,11
"68","CANTERA 2018",31,"2","2018",211,5
"69","CANTERA 2018",32,"2","2018",212,6
"70","CANTERA 2018",33,"2","2018",213,4
"71","CANTERA 2019",17,"2","2019",199,8
"72","CANTERA 2019",18,"2","2019",200,10
"73","CANTERA 2019",19,"2","2019",201,9
"74","CARBALLO 2021",23,"2","2021",195,9
"75","CARBALLO 2021",24,"2","2021",196,13
"76","CARBALLO 2021",25,"2","2021",197,11
"77","CARBALLO 2021",26,"2","2021",198,5
"78","CARBALLO 2021",27,"2","2021",199,11
"79","CARBALLO 2021",28,"2","2021",200,8
"80","CARBALLO 2021",29,"2","2021",201,8
"81","CARBALLO 2021",30,"2","2021",202,7
"82","CARBALLO 2021",31,"2","2021",203,13
"83","CARBALLO 2021",32,"2","2021",204,7
"84","CARBALLO 2021",33,"2","2021",205,7
"85","CARBALLO 2021",34,"2","2021",206,11
"86","CARBALLO 2021",35,"2","2021",207,10
"87","CARBALLO 2021",36,"2","2021",208,10
"88","CARBALLO 2021",37,"2","2021",209,4
"89","CARBALLO 2021",38,"2","2021",210,2
"90","CARBALLO 2021",39,"2","2021",211,16
"91","EMBUDO 2021",18,"2","2021",190,13
"92","EMBUDO 2021",19,"2","2021",191,14
"93","EMBUDO 2021",20,"1","2021",192,3
"94","EMBUDO 2021",20,"2","2021",192,3
"95","EMBUDO 2021",21,"1","2021",193,3
"96","EMBUDO 2021",22,"1","2021",194,8
"97","EMBUDO 2021",23,"1","2021",195,6
"98","EMBUDO 2021",24,"1","2021",196,6
"99","EMBUDO 2021",25,"1","2021",197,3
"100","EMBUDO 2021",26,"1","2021",198,2
"101","FRAMIL 2018",24,"2","2018",205,11
"102","FRAMIL 2018",25,"2","2018",206,7
"103","FRAMIL 2018",26,"2","2018",207,10
"104","FRAMIL 2018",27,"2","2018",208,7
"105","FRAMIL 2018",28,"2","2018",209,8
"106","FRAMIL 2018",29,"2","2018",210,12
"107","FRAMIL 2019",24,"2","2019",198,9
"108","FRAMIL 2019",25,"2","2019",199,8
"109","FRAMIL 2019",26,"2","2019",200,7
"110","FRAMIL 2019",27,"2","2019",201,11
"111","FRAMIL 2019",28,"2","2019",202,10
"112","FRAMIL 2019",29,"2","2019",203,6
"113","FRAMIL 2019",30,"2","2019",204,9
"114","FRAMIL 2019",31,"2","2019",205,8
"115","FRAMIL 2019",32,"2","2019",206,11
"116","MATADERO 2020",19,"1","2020",193,7
"117","MATADERO 2020",20,"1","2020",194,4
"118","MATADERO 2020",21,"1","2020",195,8
"119","MATADERO 2020",22,"1","2020",196,5
"120","MATADERO 2020",23,"1","2020",197,6
"121","MATADERO 2020",24,"1","2020",198,4
"122","MATADERO 2020",25,"1","2020",199,6
"123","MATADERO 2020",26,"1","2020",200,5
"124","MATADERO 2020",27,"1","2020",201,8
"125","MATADERO 2020",28,"1","2020",202,4
"126","MATADERO 2020",29,"1","2020",203,5
"127","MATADERO 2020",30,"1","2020",204,2
"128","MATADERO 2020",31,"1","2020",205,5
"129","MATADERO 2020",32,"1","2020",206,8
"130","MATADERO 2020",33,"1","2020",207,3
"131","MATADERO 2020",34,"1","2020",208,9
"132","MATADERO 2020",35,"1","2020",209,4
"133","MATADERO 2020",36,"1","2020",210,6
"134","MATADERO 2020",37,"1","2020",211,6
"135","NAVALEXO 2020",19,"2","2020",192,2
"136","NAVALEXO 2020",20,"2","2020",193,9
"137","NAVALEXO 2020",21,"2","2020",194,4
"138","NAVALEXO 2020",22,"2","2020",195,9
"139","NAVALEXO 2020",23,"2","2020",196,10
"140","NAVALEXO 2020",24,"2","2020",197,12
"141","NAVALEXO 2020",25,"2","2020",198,7
"142","NAVALEXO 2020",26,"2","2020",199,5
"143","NAVALEXO 2020",27,"2","2020",200,5
"144","NAVALEXO 2020",28,"2","2020",201,11
"145","NAVALEXO 2020",29,"2","2020",202,8
"146","NAVALEXO 2020",30,"2","2020",203,4
"147","NAVALEXO 2020",31,"2","2020",204,11
"148","NAVALEXO 2020",32,"2","2020",205,6
"149","NAVALEXO 2020",33,"2","2020",206,10
"150","NAVALEXO 2020",34,"2","2020",207,5
"151","NAVALEXO 2020",35,"2","2020",208,5
"152","NAVALEXO 2020",36,"2","2020",209,6
"153","NORES 2018",25,"1","2018",211,3
"154","NORES 2018",26,"1","2018",212,6
"155","NORES 2018",27,"1","2018",213,4
"156","NORES 2018",28,"1","2018",214,4
"157","NORES 2018",30,"1","2018",216,1
"158","NORES 2018",31,"1","2018",217,4
"159","NORES 2018",32,"1","2018",218,10
"160","NORES 2018",33,"1","2018",219,2
"161","NORES 2018",34,"1","2018",220,6
"162","NORES 2018",35,"1","2018",221,5
"163","NORES 2018",36,"1","2018",222,4
"164","OUTIL 2021",22,"2","2021",208,9
"165","OUTIL 2021",23,"2","2021",209,11
"166","OUTIL 2021",24,"2","2021",210,8
"167","OUTIL 2021",25,"2","2021",211,8
"168","OUTIL 2021",26,"2","2021",212,12
"169","OUTIL 2021",27,"2","2021",213,10
"170","OUTIL 2021",28,"2","2021",214,8
"171","OUTIL 2021",29,"2","2021",215,6
"172","OUTIL 2021",30,"2","2021",216,6
"173","OUTIL 2021",31,"2","2021",217,8
"174","OUTIL 2021",32,"2","2021",218,14
"175","OUTIL 2021",33,"2","2021",219,10
"176","OUTIL 2021",34,"2","2021",220,5
"177","OUTIL 2021",35,"2","2021",221,11
"178","OUTIL 2021",36,"2","2021",222,8
"179","OUTIL 2021",37,"2","2021",223,12
"180","OUTIL 2021",38,"2","2021",224,8
"181","OUTIL 2021",39,"2","2021",225,3
"182","P. LIMENS 2018",17,"1","2018",199,5
"183","P. LIMENS 2018",18,"1","2018",200,3
"184","P. LIMENS 2018",19,"1","2018",201,5
"185","P. LIMENS 2018",20,"1","2018",202,5
"186","P. LIMENS 2018",21,"1","2018",203,2
"187","P. LIMENS 2018",22,"1","2018",204,3
"188","P. LIMENS 2018",23,"1","2018",205,6
"189","P. LIMENS 2018",24,"1","2018",206,5
"190","P. LIMENS 2018",25,"1","2018",207,5
"191","P. LIMENS 2018",26,"1","2018",208,8
"192","P. LIMENS 2018",27,"1","2018",209,4
"193","P. LIMENS 2018",28,"1","2018",210,6
"194","P. LIMENS 2018",29,"1","2018",211,5
"195","P. LIMENS 2018",30,"1","2018",212,8
"196","P. LIMENS 2018",31,"1","2018",213,6
"197","P. LIMENS 2018",32,"1","2018",214,6
"198","P. LIMENS 2018",33,"1","2018",215,4
"199","P. LIMENS 2018",34,"1","2018",216,3
"200","P. LIMENS 2018",35,"1","2018",217,3
"201","P. LIMENS 2018",36,"1","2018",218,3
"202","P. LIMENS 2018",37,"1","2018",219,4
"203","P. LIMENS 2018",38,"1","2018",220,3
"204","P. LIMENS 2018",39,"1","2018",221,6
"205","PGRANDE 2020",22,"2","2020",198,6
"206","PGRANDE 2020",23,"2","2020",199,8
"207","PGRANDE 2020",24,"2","2020",200,5
"208","PGRANDE 2020",25,"2","2020",201,5
"209","PGRANDE 2020",26,"2","2020",202,8
"210","PGRANDE 2020",27,"2","2020",203,10
"211","PGRANDE 2020",28,"2","2020",204,9
"212","PGRANDE 2020",29,"2","2020",205,9
"213","PGRANDE 2020",30,"2","2020",206,9
"214","PGRANDE 2020",31,"2","2020",207,10
"215","PGRANDE 2020",32,"2","2020",208,9
"216","PGRANDE 2020",33,"2","2020",209,10
"217","PGRANDE 2020",34,"2","2020",210,6
"218","PGRANDE 2020",35,"2","2020",211,5
"219","PGRANDE 2020",36,"2","2020",212,3
"220","PGRANDE 2020",37,"2","2020",213,9
"221","PGRANDE 2020",38,"2","2020",214,5
"222","PICONBAJO 2020",26,"2","2020",193,8
"223","PICONBAJO 2020",27,"2","2020",194,6
"224","PICONBAJO 2020",28,"2","2020",195,5
"225","PICONBAJO 2020",29,"2","2020",196,6
"226","PICONBAJO 2020",30,"2","2020",197,8
"227","PICONBAJO 2020",31,"2","2020",198,7
"228","PICONBAJO 2020",32,"2","2020",199,4
"229","PICONBAJO 2020",33,"2","2020",200,9
"230","PICONBAJO 2020",34,"2","2020",201,5
"231","PICONBAJO 2020",35,"2","2020",202,4
"232","PICONBAJO 2020",36,"2","2020",203,6
"233","PICONBAJO 2020",37,"2","2020",204,6
"234","PICONBAJO 2020",38,"2","2020",205,4
"235","PICONBAJO 2020",39,"2","2020",206,4
"236","PICONBAJO 2021",18,"2","2021",184,8
"237","PICONBAJO 2021",19,"2","2021",185,2
"238","PICONBAJO 2021",20,"2","2021",186,1
"239","REXENXO 2018",25,"2","2018",205,7
"240","REXENXO 2018",26,"2","2018",206,10
"241","REXENXO 2018",27,"2","2018",207,6
"242","REXENXO 2018",28,"2","2018",208,4
"243","REXENXO 2018",29,"2","2018",209,6
"244","REXENXO 2018",30,"2","2018",210,8
"245","REXENXO 2018",31,"2","2018",211,3
"246","REXENXO 2018",32,"2","2018",212,9
"247","REXENXO 2018",33,"2","2018",213,6
"248","REXENXO 2018",34,"2","2018",214,5
"249","REXENXO 2018",35,"2","2018",215,7
"250","RIOTRUCHAS 2021",23,"1","2021",204,7
"251","RIOTRUCHAS 2021",24,"1","2021",205,10
"252","RIOTRUCHAS 2021",25,"1","2021",206,2
"253","RIOTRUCHAS 2021",26,"1","2021",207,3
"254","RIOTRUCHAS 2021",27,"1","2021",208,8
"255","RIOTRUCHAS 2021",28,"1","2021",209,6
"256","RIOTRUCHAS 2021",29,"1","2021",210,8
"257","RIOTRUCHAS 2021",30,"1","2021",211,6
"258","RIOTRUCHAS 2021",31,"1","2021",212,10
"259","RIOTRUCHAS 2021",32,"1","2021",213,3
"260","RIOTRUCHAS 2021",33,"1","2021",214,9
"261","RIOTRUCHAS 2021",34,"1","2021",215,4
"262","RIOTRUCHAS 2021",35,"1","2021",216,9
"263","RIOTRUCHAS 2021",36,"1","2021",217,2
"264","RIOTRUCHAS 2021",37,"1","2021",218,1
"265","RIOTRUCHAS 2021",38,"1","2021",219,5
"266","RIOTRUCHAS 2021",39,"1","2021",220,6
"267","RIOTRUCHAS 2021",40,"1","2021",221,9
"268","RIOTRUCHAS 2021",41,"1","2021",222,5
"269","RIOTRUCHAS 2021",42,"1","2021",223,4
"270","RIOTRUCHAS 2021",43,"1","2021",224,2
"271","RIOTRUCHAS 2021",44,"1","2021",225,2
"272","RIOTRUCHAS 2021",45,"1","2021",226,4
"273","RUBIANS 2019",22,"1","2019",221,5
"274","RUBIANS 2019",23,"1","2019",222,4
"275","RUBIANS 2019",24,"1","2019",223,7
"276","RUBIANS 2019",25,"1","2019",224,6
"277","RUBIANS 2019",26,"1","2019",225,9
"278","RUBIANS 2019",27,"1","2019",226,4
"279","SANCOSME 2020",18,"1","2020",200,8
"280","SANCOSME 2020",19,"1","2020",201,5
"281","SANCOSME 2020",20,"1","2020",202,3
"282","SANCOSME 2020",21,"1","2020",203,4
"283","SANCOSME 2020",22,"1","2020",204,5
"284","SANCOSME 2020",23,"1","2020",205,4
"285","SANCOSME 2020",24,"1","2020",206,3
"286","SANCOSME 2020",25,"1","2020",207,7
"287","SANCOSME 2020",26,"1","2020",208,3
"288","SANCOSME 2020",27,"1","2020",209,4
"289","SANCOSME 2020",28,"1","2020",210,7
"290","SANCOSME 2020",29,"1","2020",211,6
"291","SANCOSME 2020",30,"1","2020",212,2
"292","SANCOSME 2020",31,"1","2020",213,2
"293","SANCOSME 2020",32,"1","2020",214,5
"294","SANCOSME 2020",33,"1","2020",215,2
"295","SANCOSME 2020",34,"1","2020",216,7
"296","SANCOSME 2020",35,"1","2020",217,3
"297","SANCOSME 2020",36,"1","2020",218,5
"298","SANCOSME 2020",37,"1","2020",219,3
"299","SANCOSME 2020",38,"1","2020",220,3
"300","SANCOSME 2020",39,"1","2020",221,3
"301","SANCOSME 2020",40,"1","2020",222,3
"302","SANCOSME 2021",17,"2","2021",191,5
"303","SANCOSME 2021",18,"2","2021",192,5
"304","SANCOSME 2021",19,"2","2021",193,5
"305","SANCOSME 2021",20,"2","2021",194,2
"306","SANCOSME 2021",21,"2","2021",195,7
"307","SANCOSME 2021",22,"2","2021",196,2
"308","SANCOSME 2021",23,"1","2021",197,5
"309","SANCOSME 2021",24,"1","2021",198,4
"310","SANCOSME 2021",25,"1","2021",199,5
"311","SANCOSME 2021",26,"1","2021",200,5
"312","SANCOSME 2021",27,"1","2021",201,4
"313","SANCOSME 2021",28,"1","2021",202,3
"314","SANCOSME 2021",29,"1","2021",203,4
"315","SANCOSME 2021",30,"1","2021",204,3
"316","SANCOSME 2021",31,"1","2021",205,5
"317","SANCOSME 2021",32,"1","2021",206,3
"318","SANCOSME 2021",33,"1","2021",207,6
"319","SANCOSME 2021",34,"1","2021",208,5
"320","SANCOSME 2021",35,"1","2021",209,4
"321","SANCOSME 2021",36,"1","2021",210,2
"322","SANCOSME 2021",37,"1","2021",211,5
"323","SANCOSME 2021",38,"1","2021",212,4
"324","SANCOSME 2021",39,"1","2021",213,3
"325","SANCOSME 2021",40,"1","2021",214,3
"326","SANCOSME 2021",41,"1","2021",215,4
"327","SANCOSME 2021",42,"1","2021",216,2
"328","SANCOSME 2021",43,"1","2021",217,3
"329","SANCOSME 2021",44,"1","2021",218,4
"330","TANOIRA 2021",21,"2","2021",191,11
"331","TANOIRA 2021",22,"2","2021",192,8
"332","TANOIRA 2021",23,"2","2021",193,16
"333","TANOIRA 2021",24,"2","2021",194,11
"334","TANOIRA 2021",25,"2","2021",195,13
"335","TANOIRA 2021",26,"2","2021",196,11
"336","TANOIRA 2021",27,"2","2021",197,9
"337","TANOIRA 2021",28,"2","2021",198,11
"338","TANOIRA 2021",29,"2","2021",199,13
"339","TANOIRA 2021",30,"2","2021",200,18
"340","TANOIRA 2021",31,"2","2021",201,12
"341","TANOIRA 2021",32,"2","2021",202,17
"342","TANOIRA 2021",33,"2","2021",203,11
"343","TANOIRA 2021",34,"2","2021",204,9
"344","TANOIRA 2021",35,"2","2021",205,5
"345","TANOIRA 2021",36,"2","2021",206,16
"346","TANOIRA 2021",37,"2","2021",207,10
"347","TANOIRA 2021",38,"2","2021",208,7
